,Unnamed: 0,Stkcd,SP_TTM,EP_TTM,EP_LYR,CashFlowYiled_LYR,CashFlowYiled_TTM,FreeCashFlowYield_TTM,BP_LR,Sales2EV,SaleEarnings_SQ_YoY,Earnings_SQ_YoY,Sales_SQ_YoY,ROE_LR,ROA_LR,jlr,yylr,yysr,Momentum_1M,Momentum_12M,MACrossover,Momentum_24M,CurrentRatio,AssetTurnover,LTD2Equity_LR,PD,BZC
308,308,2594.0,2.785228519,1.680159917,1.459690519,-0.460389398,-0.300328165,-0.309307689,-0.629366518,0.209104689,0.658605862,0.33912743,0.475667094,0.416095068,-0.108581713,0.035685883,0.277868468,-0.055969752,-0.259568947,0.598847441,0.436794893,-0.664538795,-0.559098589,0.521633254,-0.240953573,0.957648448,-0.512766507
309,309,2595.0,-0.400135962,0.569644012,0.580983621,0.231080854,0.165053733,0.170001431,-0.84427538,-0.534086444,0.019076301,-0.00937752,0.013016907,1.365898276,2.811434235,0.022548165,-0.003705799,-0.055620144,-0.208371757,0.36718234,0.609330616,0.083540123,1.018850591,0.338333532,-0.646513708,-0.032112994,-1.61115652
310,310,2603.0,-0.397527565,0.01695045,0.148187686,0.037777907,-0.048417657,-0.045579973,-0.6020149,-0.473333341,0.048628777,0.018811816,0.082989734,0.340718572,1.020865152,0.024458447,0.013742381,-0.05685644,0.041432941,0.666621173,0.905896316,-0.765909714,0.30806376,0.08735054,-0.60402319,-0.033352019,-0.528088339
311,311,2635.0,-0.174504486,0.710820439,0.328197879,0.379244698,0.346254728,0.35381475,-0.818749112,-0.494126338,0.128066727,0.103379947,0.234596683,0.290294424,0.81871679,0.023727761,0.000216943,-0.054587593,-2.902271542,2.994519235,1.723230982,0.571866882,0.583974039,0.380351381,-0.613240228,0.289459487,0.70145833
312,312,2642.0,-0.467043908,-0.230850619,-0.479276414,-0.331871589,-0.154712729,-0.147950046,-0.6929887,-0.615948966,-0.074474249,-0.103642556,-0.238188769,-0.693904065,-0.640291863,0.040879159,0.103933012,-0.054763479,-0.449295626,-0.508702674,-1.500513752,-0.408496021,0.900654115,-0.438918315,-0.563162277,0.691622323,1.790302475
313,313,2646.0,-0.405260695,-0.015981718,0.262622737,0.103849392,-0.046823021,-0.041968709,-0.594441677,-0.527944085,-0.021261457,-0.054016116,-0.232614711,0.331739438,0.99948682,0.026377464,0.018366571,-0.054627055,-0.465684043,0.314732702,0.905554461,-0.588744027,0.356538481,-0.189881144,-0.644317542,0.278489522,-0.399027768
314,314,2648.0,-0.180120212,-1.120019163,-0.527107694,-0.089628966,0.203408923,0.200682894,-0.123197707,0.113527892,0.148132694,0.110751408,-0.236834924,-0.74150832,-0.781303194,0.013574484,-0.031823284,-0.056774038,-1.243250742,0.932355968,0.650161616,-1.693839373,-0.626451022,0.103487324,-0.494183583,-0.132044124,0.813063734
315,315,2653.0,-0.590252319,-0.110189314,-0.237548441,-0.030749333,-0.022735626,-0.015853372,-1.113806758,-0.669715502,-0.027361409,-0.015780586,0.1092057,1.266942277,1.716321184,0.022454972,-0.001634991,-0.055275595,-0.173841362,-0.35677652,0.312269298,-1.1403387,-0.296733846,-0.348720473,-0.456950146,0.334467147,-0.377839846
316,316,2657.0,-0.301845416,0.065268959,0.019608977,-0.19136736,0.149610943,0.158215376,-0.951515862,-0.652763432,0.011128276,-0.019280211,-0.132195575,-0.055086875,0.224656148,0.035687392,0.063337335,-0.049780569,-0.333311571,0.00439362,-0.082030848,3.251629169,0.987519135,-0.336703249,-0.523546306,0.864396942,1.783926317
317,317,2663.0,-0.57280163,-0.500516489,-0.461275395,-0.194758639,-0.245019478,-0.237373081,-0.348931423,-0.478484622,-0.063343521,-0.089539915,-0.308755802,-0.513839023,-0.448457922,0.02992178,0.017694606,-0.054197944,-0.22776869,0.232532214,0.815423715,-0.143796458,0.578473203,-0.413563109,-0.428125654,-0.019533526,0.83012989
318,318,2665.0,-0.659165151,-0.493498158,-0.520421601,-0.127225396,-0.188074191,-0.182774718,-0.943247459,-0.690738781,-0.048062052,-0.041783497,-0.401517783,-0.249455455,-0.223039658,0.069005373,0.051136288,0.650212916,0.314344201,-1.750722619,-3.735019522,0.18044774,0.031137463,-0.70033564,-0.444812341,0.940306627,0.192669048
319,319,2672.0,-0.427109858,-0.037171679,0.045324719,-0.109684293,-0.053243529,-0.052303401,-0.739149989,-0.536039939,-0.008930204,-0.014423911,-0.161676298,0.510004942,0.244428428,0.021944057,-0.006162522,-0.056725805,0.079330937,0.781895765,0.780112617,-0.013417799,-0.560665105,-0.525859183,-0.067712906,-0.083452638,-0.014809276
320,320,2673.0,-0.55763201,-0.100066722,-0.057538248,-1.243014912,-2.007469823,-2.003432215,-0.903215021,-0.681354461,-0.083783043,-0.105794351,-0.975971554,0.074683882,-0.478865832,0.024334132,-0.002774445,-0.054105699,-0.140559871,1.617498228,0.367595552,5.55746837,,-1.072898459,,1.145373795,1.433126281
321,321,2678.0,-0.555739644,-0.409548123,-0.36612715,-0.176106601,-0.127603919,-0.123196973,-0.988954985,-0.598500745,-0.016559446,-0.04031471,-0.175646893,-0.037722267,0.2660209,0.021607276,-0.003807853,-0.05755504,-0.34138906,0.671426443,0.168369787,-0.321869518,-0.007378559,-0.031016496,-0.596468558,-0.103690817,0.70743776
