Stkcd,F090101B,F090101C,F090501C,F091101A,F091801B,F091801C,F092101C,F090602C,F091002A,F081002B,F081202B,F081602C,jlr,yylr,yysr,rate1,rate2,rate03,factor_ma,F010101A,F011801A,F011901A,rate,PD,BZC,aa,y
601992,-0.132027111,-0.28485178,-0.007494329,0.338750245,0.163062438,-0.309011149,-0.045207821,0.003008956,0.435705434,-0.279776,-0.152167,-0.007665,0.079698829,-0.005944252,-0.054514501,-0.019874477,,-0.024003074,-0.082164329,-0.283909656,-0.498974962,0.944376709,-1.456470588,-0.289078586,0.041589687,37,1
000592,-0.45744489,-0.670396211,-0.636712206,-0.472138806,-0.371888561,-0.446243129,-0.06513336,-0.629555714,-0.614839876,-0.455885,-0.213442,0.113822,0.334860472,-0.008134639,-0.054627774,-0.018181818,0.063563564,0.022201919,-0.091438817,3.391776909,2.830518247,-0.954360883,-1.442720764,-0.066578918,0.050522477,38,1
000552,-0.242025258,-0.539754913,-0.518574127,-0.365802587,-0.18761143,-0.350411048,-0.27931062,-0.510789261,-0.130254572,-0.45721,-0.487693,-0.198763,0.030299703,0.030035793,-0.044017768,0.142857143,-0.364839319,-0.110070258,-0.108292683,-0.329311025,0.06460925,-1.015414692,-1.376344086,-0.34766067,0.039090908,39,1
300244,-0.313215048,0.021034494,-0.110630001,-0.379936206,-0.387519912,-0.146612813,-0.665010307,-0.100675292,-0.565203355,0.398372,0.295064,0.391791,0.024975678,0.004002044,-0.05547812,-0.067828418,-0.537100949,0.318322934,-0.092457421,-0.444393861,-0.353159568,-0.582040245,-1.367534456,0.112911359,0.056271806,40,1
603568,,,,,,,,,,,,,0.021339305,-0.007785901,-0.057578458,-0.089112469,,0.110808721,0.194810811,0.189638469,-0.203502027,1.172513247,-1.335040546,1.887728596,0.065317099,41,1
300124,-0.222880154,0.295334257,-0.46755531,-0.397815675,-0.084430791,0.04482128,0.312906944,-0.45948195,-0.269465338,0.208538,0.175178,0.235437,0.023023304,-0.001521001,-0.05528027,-0.30190678,,-0.221398305,0.008178603,0.413331514,0.307273076,-0.919919141,-1.327894737,-0.118362816,0.046934888,42,1
600705,-0.18339161,0.183046341,-0.574010743,0.434980626,-4.000908049,-0.138135442,-0.221479757,-0.650900626,0.004596451,0.270448,0.277561,0.157466,0.422939086,2.071224429,0.00638756,-0.026858214,,0.157795312,-0.164333852,-0.478526739,-0.607186534,1.749238616,-1.32748538,-0.051128993,0.049065222,43,1
600422,-0.111214512,0.375606022,0.359132026,-0.295264521,-0.037957475,0.246691624,0.118265224,0.371585387,0.122942527,0.401761,0.370739,0.19298,0.024152668,0.000790571,-0.055796288,0.233199133,-0.770215972,0.19455275,0.023809524,0.243823088,0.108663072,-0.368404332,-1.316986496,-0.161215573,0.039099138,44,1
002470,0.256418212,0.684955694,0.954447707,-0.040592055,0.337950646,0.149958983,0.125932566,0.970067535,0.962880166,0.263087,0.247137,0.309388,0.033767037,0.033662347,-0.054776663,6.654867257,,-5.240904621,-0.155274262,-0.084174977,0.174937246,-0.732277308,-1.271961492,-0.083793183,0.037925934,45,1
002285,-0.406087927,-0.092461212,-0.31460323,-0.407215316,-0.408670494,-0.956908552,-0.639776527,-0.305733449,-0.809048195,0.298441,0.337042,0.423915,0.02292077,-0.012892022,-0.054087651,3.039433148,1.177449168,-3.266576006,-0.084142395,-0.150636937,-0.310307228,-0.956143114,-1.26340882,-0.033268709,0.056176411,46,1
